time_s	TempA_K	TempB_K	Setpoint_K	Heater_1	Ramp	Rate_K/m	Res_Ohm
0000000.0	006.31	003.96	295.00	000.00	0	001.00	00008.9995
0000001.3	006.26	003.95	295.00	000.00	0	001.00	00008.9992
0000002.4	006.24	004.25	295.00	000.00	0	001.00	00008.9989
0000003.5	006.22	004.56	295.00	000.00	0	001.00	00008.9987
0000004.6	006.26	004.46	295.00	000.00	0	001.00	00008.9984
0000005.7	006.28	004.36	295.00	000.00	0	001.00	00008.9982
0000006.8	006.30	004.20	295.00	000.00	0	001.00	00008.9979
0000007.9	006.31	004.05	295.00	000.00	0	001.00	00008.9977
0000009.0	006.30	003.96	295.00	000.00	0	001.00	00008.9976
0000010.1	006.28	003.91	295.00	000.00	0	001.00	00008.9974
0000011.2	006.25	003.94	295.00	000.00	0	001.00	00008.9971
0000012.3	006.23	004.22	295.00	000.00	0	001.00	00008.9970
0000013.4	006.21	004.49	295.00	000.00	0	001.00	00008.9968
0000014.5	006.21	004.54	295.00	000.00	0	001.00	00008.9967
0000015.6	006.25	004.46	295.00	000.00	0	001.00	00008.9964
0000016.8	006.28	004.34	295.00	000.00	0	001.00	00008.9961
0000017.8	006.29	004.17	295.00	000.00	0	001.00	00008.9958
0000018.9	006.30	004.32	295.00	000.00	0	001.00	00008.9959
0000020.0	006.33	004.50	295.00	000.00	0	001.00	00008.9958
0000021.1	206.35	004.62	295.00	000.00	0	001.00	00008.9963
0000022.2	006.51	004.96	295.00	000.00	0	001.00	00008.9973
0000023.3	006.64	005.15	295.00	000.00	0	001.00	00008.9989
0000024.4	006.73	005.25	295.00	000.00	0	001.00	00009.0012
0000025.5	006.79	005.33	295.00	000.00	0	001.00	00009.0040
0000026.6	006.84	005.41	295.00	000.00	0	001.00	00009.0072
0000027.7	006.89	005.47	295.00	000.00	0	001.00	00009.0107
0000028.8	006.94	005.54	295.00	000.00	0	001.00	00009.0141
0000029.9	006.98	005.62	295.00	000.00	0	001.00	00009.0180
0000030.9	007.02	005.69	295.00	000.00	0	001.00	00009.0219
0000032.0	007.06	005.76	295.00	000.00	0	001.00	00009.0260
0000033.1	007.10	005.83	295.00	000.00	0	001.00	00009.0303
0000034.3	007.14	005.90	295.00	000.00	0	001.00	00009.0346
0000035.4	007.18	005.96	295.00	000.00	0	001.00	00009.0391
0000036.5	007.22	006.03	295.00	000.00	0	001.00	00009.0438
0000037.6	007.27	006.11	295.00	000.00	0	001.00	00009.0484
0000038.6	007.30	006.18	295.00	000.00	0	001.00	00009.0532
0000039.7	007.34	006.26	295.00	000.00	0	001.00	00009.0579
0000040.8	007.38	006.33	295.00	000.00	0	001.00	00009.0629
0000041.9	007.42	006.39	295.00	000.00	0	001.00	00009.0671
0000043.0	007.46	006.46	295.00	000.00	0	001.00	00009.0722
0000044.1	007.49	006.52	295.00	000.00	0	001.00	00009.0774
0000045.2	007.53	006.58	295.00	000.00	0	001.00	00009.0826
0000046.3	007.57	006.64	295.00	000.00	0	001.00	00009.0879
0000047.4	007.61	006.70	295.00	000.00	0	001.00	00009.0933
0000048.5	007.64	006.76	295.00	000.00	0	001.00	00009.0985
0000049.6	007.68	006.82	295.00	000.00	0	001.00	00009.1039
0000050.7	007.72	006.88	295.00	000.00	0	001.00	00009.1095
0000051.8	007.76	006.93	295.00	000.00	0	001.00	00009.1151
0000052.9	007.79	006.99	295.00	000.00	0	001.00	00009.1206
0000054.0	007.83	007.04	295.00	000.00	0	001.00	00009.1262
0000055.1	007.87	007.10	295.00	000.00	0	001.00	00009.1319
0000056.2	007.90	007.15	295.00	000.00	0	001.00	00009.1375
0000057.3	007.94	007.20	295.00	000.00	0	001.00	00009.1434
0000058.4	007.97	007.25	295.00	000.00	0	001.00	00009.1492
0000059.5	008.01	007.31	295.00	000.00	0	001.00	00009.1550
0000060.6	008.04	007.36	295.00	000.00	0	001.00	00009.1610
0000061.7	008.08	007.41	295.00	000.00	0	001.00	00009.1669
0000062.9	008.12	007.45	295.00	000.00	0	001.00	00009.1729
0000064.0	008.15	007.50	295.00	000.00	0	001.00	00009.1789
0000065.1	008.19	007.55	295.00	000.00	0	001.00	00009.1851
0000066.2	008.22	007.59	295.00	000.00	0	001.00	00009.1912
0000067.3	008.26	007.64	295.00	000.00	0	001.00	00009.1973
0000068.3	008.29	007.68	295.00	000.00	0	001.00	00009.2035
0000069.4	008.33	007.73	295.00	000.00	0	001.00	00009.2096
0000070.5	008.36	007.77	295.00	000.00	0	001.00	00009.2159
0000071.6	008.39	007.81	295.00	000.00	0	001.00	00009.2223
0000072.7	008.43	007.85	295.00	000.00	0	001.00	00009.2275
0000073.8	008.46	007.89	295.00	000.00	0	001.00	00009.2339
0000074.8	008.49	007.93	295.00	000.00	0	001.00	00009.2403
0000075.9	008.53	007.97	295.00	000.00	0	001.00	00009.2468
0000077.0	008.56	008.01	295.00	000.00	0	001.00	00009.2532
0000078.1	008.59	008.05	295.00	000.00	0	001.00	00009.2598
0000079.2	008.63	008.10	295.00	000.00	0	001.00	00009.2662
0000080.3	008.66	008.15	295.00	000.00	0	001.00	00009.2728
0000081.4	008.70	008.20	295.00	000.00	0	001.00	00009.2795
0000082.5	008.73	008.25	295.00	000.00	0	001.00	00009.2861
0000083.6	008.77	008.29	295.00	000.00	0	001.00	00009.2927
0000084.7	008.80	008.34	295.00	000.00	0	001.00	00009.3004
0000086.0	008.84	008.39	295.00	000.00	0	001.00	00009.3072
0000087.1	008.87	008.43	295.00	000.00	0	001.00	00009.3140
0000088.2	008.90	008.47	295.00	000.00	0	001.00	00009.3207
0000089.3	008.93	008.52	295.00	000.00	0	001.00	00009.3275
0000090.4	008.97	008.56	295.00	000.00	0	001.00	00009.3344
0000091.5	009.00	008.60	295.00	000.00	0	001.00	00009.3411
0000092.6	009.03	008.64	295.00	000.00	0	001.00	00009.3470
0000093.7	009.06	008.68	295.00	000.00	0	001.00	00009.3539
0000094.8	009.09	008.72	295.00	000.00	0	001.00	00009.3609
0000095.9	009.13	008.76	295.00	000.00	0	001.00	00009.3679
0000096.9	009.16	008.80	295.00	000.00	0	001.00	00009.3750
0000098.0	009.20	008.84	295.00	000.00	0	001.00	00009.3820
0000099.2	009.23	008.88	295.00	000.00	0	001.00	00009.3902
0000100.3	009.26	008.91	295.00	000.00	0	001.00	00009.3972
0000101.4	009.29	008.95	295.00	000.00	0	001.00	00009.4031
0000102.5	009.32	008.98	295.00	000.00	0	001.00	00009.4115
0000103.6	009.36	009.02	295.00	000.00	0	001.00	00009.4187
0000104.7	009.39	009.07	295.00	000.00	0	001.00	00009.4259
0000105.8	009.42	009.12	295.00	000.00	0	001.00	00009.4331
0000106.9	009.45	009.17	295.00	000.00	0	001.00	00009.4404
0000108.0	009.48	009.22	295.00	000.00	0	001.00	00009.4476
0000109.1	009.52	009.27	295.00	000.00	0	001.00	00009.4550
0000110.3	009.54	009.32	295.00	000.00	0	001.00	00009.4623
0000111.4	009.58	009.37	295.00	000.00	0	001.00	00009.4698
0000112.5	009.61	009.41	295.00	000.00	0	001.00	00009.4771
0000113.6	009.64	009.46	295.00	000.00	0	001.00	00009.4846
0000114.7	009.66	009.51	295.00	000.00	0	001.00	00009.4920
0000115.8	009.70	009.55	295.00	000.00	0	001.00	00009.4996
0000117.0	009.73	009.60	295.00	000.00	0	001.00	00009.5072
0000118.1	009.76	009.64	295.00	000.00	0	001.00	00009.5147
0000119.2	009.79	009.69	295.00	000.00	0	001.00	00009.5222
0000120.3	009.82	009.73	295.00	000.00	0	001.00	00009.5299
0000121.4	009.86	009.77	295.00	000.00	0	001.00	00009.5385
0000122.5	009.89	009.82	295.00	000.00	0	001.00	00009.5463
0000123.6	009.92	009.86	295.00	000.00	0	001.00	00009.5539
0000124.7	009.95	009.90	295.00	000.00	0	001.00	00009.5617
0000125.9	009.98	009.94	295.00	000.00	0	001.00	00009.5694
0000127.0	010.01	009.98	295.00	000.00	0	001.00	00009.5772
0000128.1	010.04	010.03	295.00	000.00	0	001.00	00009.5851
0000129.2	010.07	010.08	295.00	000.00	0	001.00	00009.5930
0000130.3	010.11	010.13	295.00	000.00	0	001.00	00009.6009
0000131.4	010.14	010.17	295.00	000.00	0	001.00	00009.6088
0000132.5	010.17	010.22	295.00	000.00	0	001.00	00009.6168
0000133.6	010.20	010.27	295.00	000.00	0	001.00	00009.6247
0000134.8	010.23	010.32	295.00	000.00	0	001.00	00009.6327
0000135.9	010.26	010.36	295.00	000.00	0	001.00	00009.6409
0000137.0	010.29	010.41	295.00	000.00	0	001.00	00009.6487
0000138.1	010.32	010.45	295.00	000.00	0	001.00	00009.6571
0000139.2	010.35	010.50	295.00	000.00	0	001.00	00009.6662
0000140.3	010.38	010.54	295.00	000.00	0	001.00	00009.6734
0000141.4	010.41	010.58	295.00	000.00	0	001.00	00009.6815
0000142.5	010.44	010.63	295.00	000.00	0	001.00	00009.6898
0000143.6	010.47	010.67	295.00	000.00	0	001.00	00009.6980
0000144.7	010.50	010.71	295.00	000.00	0	001.00	00009.7063
0000145.8	010.53	010.76	295.00	000.00	0	001.00	00009.7147
0000146.9	010.56	010.80	295.00	000.00	0	001.00	00009.7230
0000148.0	010.59	010.84	295.00	000.00	0	001.00	00009.7314
0000149.1	010.62	010.88	295.00	000.00	0	001.00	00009.7399
0000150.2	010.65	010.92	295.00	000.00	0	001.00	00009.7496
0000151.3	010.69	010.97	295.00	000.00	0	001.00	00009.7582
0000152.5	010.72	011.01	295.00	000.00	0	001.00	00009.7656
0000153.6	010.75	011.05	295.00	000.00	0	001.00	00009.7741
0000154.7	010.78	011.09	295.00	000.00	0	001.00	00009.7830
0000155.7	010.81	011.13	295.00	000.00	0	001.00	00009.7916
0000156.8	010.84	011.17	295.00	000.00	0	001.00	00009.8001
0000157.9	010.87	011.21	295.00	000.00	0	001.00	00009.8091
0000159.0	010.89	011.24	295.00	000.00	0	001.00	00009.8178
0000160.1	010.93	011.29	295.00	000.00	0	001.00	00009.8269
0000161.2	010.96	011.32	295.00	000.00	0	001.00	00009.8357
0000162.3	010.99	011.36	295.00	000.00	0	001.00	00009.8444
0000163.4	011.02	011.40	295.00	000.00	0	001.00	00009.8536
0000164.6	011.05	011.44	295.00	000.00	0	001.00	00009.8625
0000165.7	011.08	011.48	295.00	000.00	0	001.00	00009.8715
0000166.8	011.11	011.52	295.00	000.00	0	001.00	00009.8805
0000167.9	011.14	011.55	295.00	000.00	0	001.00	00009.8898
0000169.0	011.17	011.59	295.00	000.00	0	001.00	00009.8988
